Bss Commerce,Bss Commerce
Auto Cancel Order,Auto Cancel Order
Auto Cancel Order Config Setting,Auto Cancel Order Config Setting
Enable,Enable
Consider Cancellation after,Consider Cancellation after
Order Status Option, Order Status Option
Payment Method Group, Payment Method Group
Payment Group, Payment Group
Hours, Hours
Action, Action
Add, Add
Apply Now, Apply Now
Show Log, Show Log
Orders was successfully cancelled!, Orders was successfully cancelled!
Some orders was not successfully cancelled. Please check file log for more information!, Some orders was not successfully cancelled. Please check file log for more information!
Module is disable!, Module is disable!
Cancelled Orders History, Cancelled Orders History